Results_ID,Result_group,Age_general,Age_min,Age_max,Age_original,Population_gender,Indigenous_status,Indigenous_population,Country,Jurisdiction,Specific_location,Year_start,Year_stop,Observation_time_years,Numerator,Denominator,Point_estimate,Measure,Interpolated_from_graph,Age_standardisation,Dataset_name,Proportion,Mortality_flag,Recurrent_ARF_flag,GAS_attributable_fraction,Defined_ARF,Focus_of_study,Notes
2006MCDO,Superficial Skin and Throat,All,0,999,All,Indigenous,Yes,Aboriginal,Australia,Western Australia,5X remote NT communities,2001,2006,6,0,320,0,Proportion presenting with APSGN in first year of life,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2005FEEN,Invasive GAS,Children,0,7,Children (<7y),General,N/A,N/A,Australia,Western Australia,Perth metro,2003,2003,0.0961538461538462,1,7,0.142857142857143,GAS throat carriage rate among adults in classroom,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2006MCDO,Superficial Skin and Throat,Children,0,15,Children (<15y),Indigenous,Yes,Aboriginal,Australia,Western Australia,5X remote NT communities,2001,2006,6,1,320,0.003,Proportion presenting with ARF in first year of life,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2020MCRA,Invasive GAS,Children,0,16,Children (<16y),N/A,N/A,N/A,Australia,Multiple,Vic/Qld/NT/WA/SA,2016,2018,2,5,181,2.8,percentage of iGAS children who died,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.5,0.916666666666667,Children (6-11mo),Non-Indigenous,No,Not Applicable,Australia,Northern Territory,Top End community 2,2003,2005,2,5,38,0.131578947368421,GAS swab positivity in all pyoderma episodes (all ages),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0.0833333333333333,0.416666666666667,Children (1-5mo),Non-Indigenous,No,Not Applicable,Australia,Northern Territory,Top End community 2,2003,2005,2,5,35,0.142857142857143,GAS swab positivity in all pyoderma episodes (<15y),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,0,16,Children (<16y),Non-Indigenous,No,Not Applicable,Australia,New South Wales,Sydney,2005,2007,3,10,127,0.078740157480315,Tonsillitis in the past month (5.5-7yo),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2005FEEN,Invasive GAS,Children,0,7,Children (<7y),General,N/A,N/A,Australia,Western Australia,Perth metro,2003,2003,0.0961538461538462,11,41,0.268292682926829,GAS throat carriage rate among children in classroom,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,1,4,Children (1-4y),Non-Indigenous,No,Not Applicable,Australia,New South Wales,Sydney,2005,2007,3,11,127,0.0866141732283464,Tonsillitis in the past month (1.3-3yo),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2011MCME,Superficial Skin and Throat,Infant,0,2,Infants (<2y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Kimberley & Pilbara (Broome Hospital and Hedland Health Campus),2015,2016,1,12,77,0.156,prevalence of all crusted/purulent impetigo (retrospective arm),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2004HASS,Invasive GAS,Adult,27,61,Adults (27-61y),General,N/A,N/A,Australia,N/A,Tropical northern Aust,1994,2001,8,14,N/A,3.8,"NF GAS incidence per 100,000 (general population, peak incidence)",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2004HASS,Invasive GAS,Adult,27,61,Adults (27-61y),Indigenous,N/A,N/A,Australia,N/A,Tropical northern Aust,1994,2001,8,14,N/A,5.8,"NF GAS incidence per 100,000 (Indigenous, peak incidence)",0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2014LAIK,Superficial Skin and Throat,Adult,15,999,Adults (>15y),General,Not Defined,Not Defined,Australia,Western Australia,Kimberley & Pilbara (Broome Hospital and Hedland Health Campus),2015,2016,1,17,77,0.221,prevalence of all skin infections (retrospective arm),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2014LAIK,Superficial Skin and Throat,Adult,15,999,Adults (>15y),General,Not Defined,Not Defined,Australia,Western Australia,Kimberley & Pilbara (Broome Hospital and Hedland Health Campus),2015,2016,1,18,41,0.44,proportion of GAS+ crusted/purulent impetigo (prospective study arm),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2021SALL,Invasive GAS,Children,0,16,Children <16y,General,N/A,N/A,Australia,Western Australia,PCH,2018,2018,1,22,109,0.201,proportion of cellulitis which was GAS+,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Non-Indigenous,No,Not Applicable,Australia,New South Wales,Sydney,2005,2007,3,25,133,0.18796992481203,Tonsillitis in the past month (3.5-5yo),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2011DAVI,Invasive GAS,Adult,16,999,Adults (16y+),N/A,N/A,N/A,Australia,Northern Terrirtory,Royal Darwin hospital ,2007,2008,1,29,541,5.4,percentage of GAS+ and S.aureus as identified pathogen,0,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
2018HEND,Superficial Skin and Throat,Children,0,6,Children (<6y),Indigenous,Yes,Aboriginal,Australia,Victoria,Melbourne,2009,2011,3,30,4817,0.00622794270292713,Proportion of ED skin presentations due to pruritus,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Infant,0,1,Children (<1yo),Non-Indigenous,No,Not Applicable,Australia,Northern Territory,Top End community 3,2003,2005,2,31,118,0.26271186440678,GAS swab positivity in all pyoderma episodes (<15y),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2017ABDA,Superficial Skin and Throat,Children,1,4,Children (1-4y),Non-Indigenous,No,Not Applicable,Australia,Northern Territory,Top End community 3,2003,2005,2,34,130,0.261538461538462,GAS swab positivity in all pyoderma episodes (all ages),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
2018HEND,Superficial Skin and Throat,Children,0,6,Children (<6y),Indigenous,Yes,Aboriginal,Australia,Western Australia,Kimberley & Pilbara (Broome Hospital and Hedland Health Campus),2015,2016,1,44,156,0.278,prevalence of all crusted/purulent impetigo (prospective arm),N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
